donalda2|1049109437|14.25|18.50|2001-12-16 14:49:36
moodygirl1|1049109437|18.50|18.50|2001-12-17 11:07:12
gundammewtwo00@cs.com|1049128286|15.66|43.99|2001-12-16 06:24:01
michael5451|1049128286|21.32|43.99|2001-12-16 17:36:01
chachaty|1049128286|26.99|43.99|2001-12-17 04:48:01
rocksteady-eddie|1049128286|32.66|43.99|2001-12-17 16:00:01
cathygirlsauctions|1049128286|38.32|43.99|2001-12-18 03:12:01
crjnole1|1049128286|43.99|43.99|2001-12-18 14:24:01
ladylin|1049140996|5.99|5.99|2001-12-16 20:41:40
elegance70|1049144077|19.88|22.50|2001-12-16 05:58:50
laosbeauty|1049144077|20.75|22.50|2001-12-16 16:15:59
no1ebuyer|1049144077|21.62|22.50|2001-12-17 02:33:07
mingren|1049144077|22.50|22.50|2001-12-17 12:50:16
sanfran4|1049153828|48.00|48.00|2001-12-16 14:01:10
lavendereuphoria|1049157037|9.00|9.00|2001-12-16 21:06:25
millenniums|1049157107|1.00|1.00|2001-12-16 14:07:29
bruceko56|1049158290|9.99|9.99|2001-12-16 21:07:22
ediewill|1049162647|19.95|19.95|2001-12-16 21:14:28
jpcop|1049165111|9.99|9.99|2001-12-16 14:26:33
tabbycats2000|1049173595|85.00|85.00|2001-12-16 21:36:46
conman30@aol.com|1049182863|1.99|1.99|2001-12-16 21:59:38
thov|1049195251|15.18|61.88|2001-12-16 05:47:33
priceizright|1049195251|20.37|61.88|2001-12-16 13:18:35
rltoney|1049195251|25.56|61.88|2001-12-16 20:49:37
brownnutcake@aol.com|1049195251|30.75|61.88|2001-12-17 04:20:40
lenmw|1049195251|35.94|61.88|2001-12-17 11:51:42
bobo131|1049195251|41.12|61.88|2001-12-17 19:22:44
rock9@whidbey.net|1049195251|46.31|61.88|2001-12-18 02:53:47
partizrfun|1049195251|51.50|61.88|2001-12-18 10:24:49
cvm3|1049195251|56.69|61.88|2001-12-18 17:55:51
strangeworlds|1049195251|61.88|61.88|2001-12-19 01:26:54
smx13|1049199748|1.00|1.00|2001-12-16 23:06:46
rumpus_room|1049203532|1.00|1.00|2001-12-16 23:18:53
thanx4u|1049205617|7.00|7.00|2001-12-16 23:36:08
earlanddonna@cafes.net|1049213503|1.30|1.30|2001-12-17 08:54:00
rltoney|1049230685|21.24|22.50|2001-12-16 22:19:05
illiteratenurse|1049230685|22.50|22.50|2001-12-17 16:44:19
greatstuffaaa|1049268353|3.00|3.00|2001-12-17 05:53:05
hollybax222|1049280212|1.85|1.85|2001-12-17 11:45:14
71*flowerchild|1049281600|10.00|10.00|2001-12-17 06:28:43
shakers|1049285107|9.99|9.99|2001-12-17 06:38:28
betterbargains|1049291925|18.00|18.00|2001-12-17 03:13:44
not2good2btrue|1049299579|1.00|1.00|2001-12-17 07:10:38
someguydreamin|1049361793|6.99|6.99|2001-12-17 09:15:31
missjulie|1049363929|10.25|10.50|2001-12-17 05:09:04
artmart37|1049363929|10.50|10.50|2001-12-17 21:51:48
oogie89|1049376698|4.19|7.39|2001-12-17 05:36:21
leaps_and_bounds|1049376698|7.39|7.39|2001-12-17 22:12:16
monkeydog2|1049383226|5.12|5.24|2001-12-17 05:50:45
somersetcollectibles|1049383226|5.24|5.24|2001-12-17 22:23:04
bnhuck|1049384711|19.99|19.99|2001-12-17 10:01:13
okieh75|1049387067|7.50|7.50|2001-12-17 10:05:55
simpleselling@aol.com|1049399619|10.00|10.00|2001-12-17 10:29:38
autographcollect|1049412132|40.00|40.00|2001-12-17 10:51:39
frannancy|1049425207|15.88|16.75|2001-12-17 05:18:55
mistress*jewelry|1049425207|16.75|16.75|2001-12-17 19:42:55
onesand1|1049427022|5.99|5.99|2001-12-17 08:59:39
ab3692@dreamscape.com|1049433157|10.00|10.00|2001-12-17 11:26:32
superbaglady|1049435128|1.00|1.00|2001-12-17 09:20:43
jct@ct2.nai.net|1049445917|10.66|12.00|2001-12-17 03:45:39
springken|1049445917|11.33|12.00|2001-12-17 15:45:39
pschne8010@yahoo.com|1049445917|12.00|12.00|2001-12-18 03:45:39
eddymart|1049451558|7.99|7.99|2001-12-17 12:00:11
Antonios|1049471876|16.24|22.50|2001-12-17 08:31:41
ac34|1049471876|22.50|22.50|2001-12-18 00:23:46
tanman54|1049475711|3.00|3.00|2001-12-17 12:35:57
toyscomics|1049481048|14.99|14.99|2001-12-18 06:34:36
rockshaw|1049481602|9.74|13.49|2001-12-17 08:47:48
rikkid|1049481602|13.49|13.49|2001-12-18 00:35:51
potzer12|1049482147|5.99|5.99|2001-12-17 12:45:56
